Funciones                        | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47
28 generar_totales               |   |   |   |   |   | X |   |   | 1 |  2 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1
29 generar_txt                   |   |   |   |   |   |   |   |   |   |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |   
30 imprimir_funciones            |   |   |   |   |   |   |   |   |   |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |   
31 la_tabla                      |   | 2 |   |   |   | 1 |   |   |   |    |    |    |    |    |    |    |    |  1 |    |    |    |    |  1 |  2 |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |  1 |    |   
32 leer                          | X |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |  X |    |    |   
33 leer_csv                      |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |  X |    |    |   
34 lista_comentarios             |   |   | X |   | X |   |   |   |   |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
35 main                          |   |   |   | 1 |   |   |   |   |   |    |    |    |  1 |    |    |    |    |    |    |  1 |    |    |    |    |    |  1 |    |    |    |    |  1 |  1 |  1 |    |  2 |  1 |    |  1 |    |    |  1 |    |    |    |    |    |   
36 main_consulta_funciones       |   |   |   |   | 1 |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |  1 |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |   
37 merge_2                       |   |   |   |   |   |   |   |   |   |    |    |    |    |  X |    |    |    |    |    |    |  7 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
38 nombres_funciones             |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |   
39 ordenar_alfabeticamente       |   |   |   | X |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
40 organizar_datos               |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |   
41 panel_principal               |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |  1 |  1 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |  1 |    |    |    |    |    |    |   
42 participacion_info            |   |   |   |   |   |   |   |   |   |    |    |  3 |    |    |    |    |    |    |    |    |  9 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
43 primer_item_lista             |   |   |   |   |   | X |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
44 quien_invoca_a_quien          |   |   |   |   |   | X |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |  1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   
45 remover_ceros                 |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
46 sacar_corchetes               |   |   |   |   |   |   |   |   |   |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
47 sumar_totales                 |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
Total Invocaciones               | 2 | 3 | 3 | 1 | 1 | 1 | 2 | 1 | 1 |  2 |  1 |  3 |  1 |  2 |  0 |  1 |  1 |  2 |  2 |  1 | 35 |  0 |  1 |  3 |  1 |  6 |  1 |  1 |  1 |  2 |  1 |  3 |  2 |  4 |  7 |  1 |  6 |  1 |  2 |  1 |  1 |  0 |  1 |  1 |  1 |  4 |  1
Funciones                        | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47
1 abro_ar                        |   |   |   | X |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
2 archivo_analizador             |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
3 armar_csv_comentarios          |   |   |   | X |   |   |   | 1 |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |    |    |    |    |    |    |    |    |    |    |   
4 armar_csv_funciones            | 2 |   | 3 |   |   |   | 2 |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |  2 |    |    |    |    |    |    |    |   
5 armar_diccionarios             |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  2 |    |  X |    |    |    |    |    |    |    |    |    |    |   
6 armar_tabla                    |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |  1 |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |  1 |  1 |    |    |   
7 armo_csv                       |   |   |   | X |   |   |   |   |   |    |    |    |    |  2 |    |    |    |    |    |    |  7 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
8 autor_ayuda                    |   |   | X |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
9 borrar_primer_indice           |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
10 borrar_un_valor_lista         |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
11 busco_algo_en_codigo_de       |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |  1 |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
12 cantidad_de_espacios          |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |   
13 capturo_datos                 |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |   
14 ciclar_modulos                |   |   |   |   |   |   | X |   |   |    |    |    |    |    |    |    |    |    |    |    | 12 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  6 |    |    |    |    |    |    |    |    |    |   
15 consultar_funciones           |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |  1 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  3 |   
16 contar_elementos_varios       |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |    |    |    |    |  X |    |    |    |    |    |   
17 contar_invocaciones           |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |   
