buscoAlgo_enCodigoDe;[Autor: Alejo Mariño];             [Ayuda: Recibe dos funciones (strings) y un archivo .csv en donde se encuentren, devuelve el numero de veces que        la funcion 1 se encuentra en el codigo de la funcion 2]    ;
ciclar_modulos;[Autor: Valentin];            [Ayuda : Recorre los modulos de las listas hasta llegar a un archivo con la información         de todos los demas]    ;
depurarLineas;[Autor: Alejo Mariño];             [Ayuda: Recibe el nombre de una funcion la cual se encuentra en un determinado archivo .csv y devuelve el codigo        de la funcion ingresada libre de lineas con solo tabulaciones y espacios]    ;
encontrarMain;[Autor: Alejo Mariño];             [Ayuda: Recibe un csv, en el que compara cada modulo hasta encontrar aquel que sea igual al primer modulo        del archivo "programas.txt", el cual deberia ser el modulo en el cual se encuentra solo la funcion main.        Una vez encontrado el modulo toma el nombre de la funcion main cualquier sea su nombre y lo devuelve]    ;
escribir;[Autor: Valentin];            [Ayuda : Escribe el parametro linea en el parametro archivo]    ;
generarListaNombresFunciones;[Autor: Alejo Mariño];             [Ayuda: Recibe un archivo .csv y devuelve una lista con cada uno de los nombres de las funciones en el]    ;
generar_arbol;[Autor: Alejo Mariño];             [Ayuda: Recibe una funcion (string), un indice (int), un determinado archivo .csv y una lista        con los nombres de las funciones en dicho archivo y genera un arbol de invocacion para la determinada funcion]    ;
merge_2;[Autor: Valentin];        [Ayuda : Mergea 2 archivos en 1 nuevo]    ;
num_de_lineas;[Autor: Alejo Mariño];             [Ayuda: Recibe el cuerpo de una funcion y regresa el numero de lineas que lo componen]    ;
